,0
0,300.0
1,300.0
2,300.0
3,300.0
4,300.0
5,300.0
6,300.0
7,300.0
8,300.0
9,105.80000000000001
10,300.0
11,300.0
12,300.0
13,300.0
14,300.0
15,300.0
16,300.0
17,300.0
18,300.0
19,300.0
20,300.0
21,300.0
22,300.0
23,300.0
24,300.0
25,300.0
26,300.0
27,300.0
28,300.0
29,300.0
30,300.0
31,300.0
32,300.0
33,300.0
34,300.0
35,300.0
36,300.0
37,300.0
38,300.0
39,300.0
40,300.0
41,300.0
42,300.0
43,300.0
44,300.0
45,300.0
46,300.0
47,300.0
48,300.0
49,300.0
50,300.0
51,300.0
52,300.0
53,300.0
54,300.0
55,300.0
56,300.0
57,300.0
58,300.0
59,300.0
60,300.0
61,300.0
62,300.0
63,300.0
64,300.0
65,300.0
66,300.0
67,300.0
68,300.0
69,300.0
70,300.0
71,300.0
72,300.0
73,300.0
74,300.0
75,300.0
76,300.0
77,300.0
78,300.0
79,300.0
80,300.0
81,300.0
82,300.0
83,300.0
84,300.0
85,300.0
86,300.0
87,300.0
88,300.0
89,300.0
90,300.0
91,300.0
92,300.0
93,300.0
94,300.0
95,300.0
96,300.0
97,300.0
98,300.0
99,300.0
100,300.0
101,178.4
102,300.0
103,154.8
104,300.0
105,165.8
106,174.8
107,191.20000000000002
108,300.0
109,154.60000000000002
110,300.0
111,300.0
112,196.20000000000002
113,155.8
114,137.8
115,182.20000000000002
116,145.8
117,300.0
118,85.60000000000001
119,300.0
120,169.0
121,300.0
122,300.0
123,300.0
124,300.0
125,138.8
126,300.0
127,300.0
128,154.20000000000002
129,187.60000000000002
130,171.60000000000002
131,300.0
132,300.0
133,300.0
134,300.0
135,300.0
136,167.8
137,300.0
138,169.0
139,300.0
140,244.60000000000002
141,300.0
142,300.0
143,300.0
144,300.0
145,300.0
146,300.0
147,300.0
148,199.4
149,132.8
150,150.6
151,187.4
152,300.0
153,157.0
154,300.0
155,300.0
156,300.0
157,300.0
158,129.4
159,300.0
160,135.4
161,300.0
162,142.6
163,155.4
164,161.20000000000002
165,300.0
166,202.8
167,300.0
168,184.4
169,152.8
170,143.20000000000002
